ONS ID,Constituency name,First party,Second party,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,other,Of which other winner,q,r
S14000051,Orkney and Shetland,LD,SNP,2287,1550,10381,900,0,7874,0,0,0,0,0,0,168,0,-5,28
E14000872,Orpington,Con,Lab,30882,8504,7552,0,1783,0,0,0,0,0,0,0,0,0,8,-14
E14000873,Oxford East,Lab,Con,10303,28135,6884,1146,2392,0,0,0,0,0,0,0,499,0,0,-5
E14000874,Oxford West and Abingdon,LD,Con,22397,4258,31340,829,0,0,0,0,0,0,0,0,0,0,0,-6
S14000052,Paisley and Renfrewshire North,SNP,Lab,11217,11451,3661,0,0,23353,0,0,0,0,0,0,0,0,-10,20
S14000053,Paisley and Renfrewshire South,SNP,Lab,7571,10958,2918,0,0,21637,0,0,0,0,0,0,0,0,-11,19
E14000875,Pendle,Con,Lab,24076,17890,1548,0,678,0,0,0,0,0,0,0,268,0,-5,11
E14000876,Penistone and Stocksbridge,Con,Lab,23688,16478,5054,4300,0,0,0,0,0,0,0,0,0,0,-3,6
E14000877,Penrith and The Border,Con,Lab,28875,10356,5364,0,2159,0,0,0,0,0,0,0,1070,0,-5,15
S14000054,Perth and North Perthshire,SNP,Con,19812,2471,3780,651,0,27362,0,0,0,0,0,0,0,0,-7,23
E14000878,Peterborough,Con,Lab,22334,19754,2334,2127,728,0,0,0,0,0,0,0,524,0,5,0
E14000879,"Plymouth, Moor View",Con,Lab,26831,13934,2301,0,1173,0,0,0,0,0,0,0,0,0,-13,-15
E14000880,"Plymouth, Sutton and Devonport",Lab,Con,20704,25461,2545,2909,1557,0,0,0,0,0,0,0,0,0,-13,-16
W07000075,Pontypridd,Lab,Con,11494,17381,0,2917,0,0,4990,0,0,0,0,0,2278,0,-11,-7
E14000881,Poole,Con,Lab,29599,10483,7819,0,1702,0,0,0,0,0,0,0,848,0,-9,-13
E14000882,Poplar and Limehouse,Lab,Con,9756,38660,8832,1493,2159,0,0,0,0,0,0,0,376,0,8,-10
E14000883,Portsmouth North,Con,Lab,28172,12392,3419,0,1304,0,0,0,0,0,0,0,623,0,-3,-13
E14000884,Portsmouth South,Lab,Con,17705,23068,5418,994,0,0,0,0,0,0,0,0,240,0,-2,-14
W07000065,Preseli Pembrokeshire,Con,Lab,21381,16319,1943,0,0,0,2776,0,0,0,0,0,0,0,-15,-7
E14000885,Preston,Lab,Con,8724,20870,1737,1799,660,0,0,0,0,0,0,0,0,0,-7,11
E14000886,Pudsey,Con,Lab,26453,22936,3088,0,894,0,0,0,0,0,0,0,844,0,-1,10
E14000887,Putney,Lab,Con,18006,22780,8548,0,1133,0,0,0,0,0,0,0,0,0,3,-12
E14000888,Rayleigh and Wickford,Con,Lab,39864,8864,4171,0,2002,0,0,0,0,0,0,0,0,0,9,-5
E14000889,Reading East,Lab,Con,21178,27102,5035,852,1549,0,0,0,0,0,0,0,202,0,-3,-7
E14000890,Reading West,Con,Lab,24393,20276,4460,0,1263,0,0,0,0,0,0,0,0,0,-3,-8
E14000891,Redcar,Con,Lab,18811,15284,2018,2915,491,0,0,0,0,0,0,0,1323,0,1,13
E14000892,Redditch,Con,Lab,27907,11871,2905,0,1384,0,0,0,0,0,0,0,0,0,-4,-6
E14000893,Reigate,Con,Lab,28665,10355,10320,0,3169,0,0,0,0,0,0,0,647,0,2,-14
W07000052,Rhondda,Lab,Con,4675,16115,612,3733,438,0,4069,0,0,0,0,0,0,0,-11,-6
E14000894,Ribble Valley,Con,Lab,33346,14907,4776,0,1704,0,0,0,0,0,0,0,551,0,-3,12
E14000896,Richmond Park,LD,Con,26793,3407,34559,0,0,0,0,0,0,0,0,0,308,0,1,-12
E14000895,Richmond (Yorks),Con,Lab,36693,9483,6989,0,2500,0,0,0,0,0,0,0,2038,0,-3,11
E14000897,Rochdale,Lab,Con,14807,24475,3312,3867,986,0,0,0,0,0,0,0,0,0,-4,8
E14000898,Rochester and Strood,Con,Lab,31151,14079,3717,0,1312,0,0,0,0,0,0,0,1667,0,11,-10
E14000899,Rochford and Southend East,Con,Lab,27063,14777,2822,0,0,0,0,0,0,0,0,0,1474,0,10,-5
E14000900,Romford,Con,Lab,30494,12601,2708,0,1428,0,0,0,0,0,0,0,0,0,7,-7
E14000901,Romsey and Southampton North,Con,LD,27862,5898,16990,0,0,0,0,0,0,0,0,0,640,0,-5,-11
E14000902,Rossendale and Darwen,Con,Lab,27570,18048,2011,0,1193,0,0,0,0,0,0,0,0,0,-5,9
S14000055,"Ross, Skye and Lochaber",SNP,LD,6900,2448,9820,710,0,19263,0,0,0,0,0,0,728,0,-7,24
E14000904,Rotherham,Lab,Con,11615,14736,2090,6125,0,0,0,0,0,0,0,0,1085,0,0,5
